t,bbox,ratio,conf,landmark
6.2,True,0.0732,0.414,False
6.24,True,0.0684,0.464,False
6.27,True,0.0742,0.43,False
6.3,True,0.0656,0.433,False
6.34,True,0.0666,0.416,False
6.37,True,0.0675,0.437,False
6.4,True,0.0585,0.454,False
6.44,True,0.0666,0.453,False
6.47,True,0.0438,0.426,False
6.5,True,0.0772,0.427,False
6.54,True,0.0611,0.376,False
6.57,True,0.0666,0.435,False
6.6,True,0.0666,0.455,False
6.64,True,0.0638,0.434,False
6.67,True,0.0666,0.457,False
6.7,True,0.0647,0.433,False
6.74,True,0.0844,0.372,False
6.77,True,0.0713,0.47,False
6.8,True,0.0742,0.432,False
6.84,True,0.0792,0.392,False
6.87,True,0.0713,0.412,False
6.9,True,0.0752,0.422,False
6.94,True,0.0802,0.4,False
6.97,True,0.0666,0.399,False
7.0,True,0.0453,0.399,False
7.04,True,0.0919,0.332,False
7.07,True,0.0533,0.374,False
7.1,True,0.0461,0.412,False
7.14,True,0.0469,0.416,False
7.17,True,0.0416,0.501,False
7.2,True,0.055,0.355,False
7.24,True,0.0509,0.357,False
7.27,True,0.0446,0.341,False
7.3,True,0.0366,0.558,False
7.34,True,0.0431,0.621,False
7.37,True,0.0453,0.519,False
7.4,True,0.0542,0.507,False
7.44,True,0.0477,0.528,False
7.47,True,0.0517,0.419,False
7.5,True,0.0501,0.31,False
7.54,False,0.0,0.0,False
7.57,True,0.0533,0.353,False
7.6,True,0.0485,0.399,False
7.64,True,0.0469,0.494,False
7.67,True,0.0446,0.57,False
7.7,True,0.0408,0.571,False
7.74,True,0.038,0.716,False
7.77,True,0.0373,0.696,True
7.8,True,0.0332,0.779,True
7.84,True,0.0313,0.737,True
7.87,True,0.0332,0.725,True
7.9,True,0.03,0.803,True
7.94,True,0.027,0.863,True
7.97,True,0.0276,0.853,True
8.0,True,0.0258,0.859,True
8.04,True,0.027,0.887,True
8.07,True,0.03,0.911,True
8.1,True,0.0332,0.908,True
8.14,True,0.0306,0.932,True
8.17,True,0.0313,0.933,True
8.2,True,0.0332,0.925,True
8.24,True,0.0345,0.925,True
8.27,True,0.0339,0.932,True
8.3,True,0.0339,0.922,True
8.34,True,0.0332,0.921,True
8.37,True,0.03,0.935,True
8.4,True,0.0276,0.934,True
8.44,True,0.0282,0.928,True
8.47,True,0.03,0.939,True
8.5,True,0.0294,0.931,True
8.54,True,0.03,0.922,True
8.57,True,0.0306,0.912,True
8.6,True,0.0294,0.913,True
8.64,True,0.03,0.922,True
8.67,True,0.0319,0.916,True
8.7,True,0.0294,0.908,True
8.74,True,0.0306,0.912,True
8.77,True,0.03,0.905,True
8.8,True,0.0313,0.905,True
8.84,True,0.0306,0.918,True
8.87,True,0.0313,0.904,True
8.9,True,0.0294,0.912,True
8.94,True,0.0282,0.91,True
8.97,True,0.0294,0.909,True
9.0,True,0.0288,0.857,True
9.04,True,0.03,0.86,True
9.07,True,0.0319,0.762,True
9.1,True,0.0339,0.808,True
9.14,True,0.0387,0.683,True
9.17,True,0.0401,0.694,True
9.2,True,0.0446,0.482,False
9.24,True,0.0477,0.456,False
9.27,True,0.0408,0.364,False
9.3,True,0.0469,0.45,False
9.34,True,0.0453,0.364,False
9.37,True,0.0533,0.413,False
9.4,True,0.0752,0.353,False
9.44,False,0.0,0.0,False
9.47,True,0.0501,0.466,False
9.5,False,0.0,0.0,False
9.54,True,0.0629,0.414,False
9.57,True,0.0638,0.473,False
9.6,True,0.0647,0.514,False
9.64,True,0.0647,0.482,False
9.67,True,0.0638,0.506,False
9.7,True,0.0638,0.453,False
9.74,True,0.062,0.542,False
9.77,True,0.0602,0.628,False
9.8,True,0.0666,0.624,False
9.84,True,0.0723,0.577,False
9.87,True,0.0647,0.582,False
9.9,True,0.0602,0.6,False
9.94,True,0.0567,0.668,False
9.97,True,0.062,0.671,False
10.0,True,0.062,0.62,False
10.04,True,0.0656,0.487,False
10.07,True,0.0509,0.58,False
10.1,True,0.0559,0.577,False
10.14,True,0.0517,0.629,False
10.17,True,0.0567,0.64,False
10.2,True,0.0533,0.625,False
10.24,True,0.0485,0.683,False
10.27,True,0.0542,0.719,False
10.3,True,0.0559,0.69,False
10.34,True,0.0585,0.547,False
10.37,True,0.0611,0.582,False
10.4,True,0.0611,0.724,False
10.44,True,0.0629,0.7,False
10.47,True,0.0593,0.685,False
10.5,True,0.062,0.575,False
10.54,True,0.062,0.565,False
10.57,True,0.0602,0.615,False
10.6,True,0.0611,0.606,False
10.64,True,0.0629,0.592,False
10.67,True,0.0647,0.604,False
10.7,True,0.0762,0.585,False
10.74,True,0.0611,0.577,False
10.77,True,0.055,0.536,False
10.8,True,0.0656,0.497,False
10.84,True,0.0629,0.475,False
10.87,True,0.0703,0.506,False
10.9,True,0.0593,0.454,False
10.94,False,0.0,0.0,False
10.97,False,0.0,0.0,False
11.0,True,0.0485,0.349,False
11.04,True,0.0501,0.397,False
11.07,True,0.055,0.375,False
11.1,True,0.0469,0.461,False
11.14,True,0.0394,0.378,False
11.17,True,0.0387,0.635,True
11.2,True,0.0352,0.674,False
