t,bbox,ratio,conf,landmark
6.26,False,0.0,0.0,False
6.29,False,0.0,0.0,False
6.32,False,0.0,0.0,False
6.36,False,0.0,0.0,False
6.39,False,0.0,0.0,False
6.42,False,0.0,0.0,False
6.46,False,0.0,0.0,False
6.49,True,0.0525,0.333,False
6.52,False,0.0,0.0,False
6.56,False,0.0,0.0,False
6.59,False,0.0,0.0,False
6.62,False,0.0,0.0,False
6.66,False,0.0,0.0,False
6.69,False,0.0,0.0,False
6.72,False,0.0,0.0,False
6.76,False,0.0,0.0,False
6.79,False,0.0,0.0,False
6.82,False,0.0,0.0,False
6.86,False,0.0,0.0,False
6.89,False,0.0,0.0,False
6.92,False,0.0,0.0,False
6.96,False,0.0,0.0,False
6.99,False,0.0,0.0,False
7.02,True,0.0656,0.304,False
7.06,False,0.0,0.0,False
7.09,False,0.0,0.0,False
7.12,False,0.0,0.0,False
7.16,False,0.0,0.0,False
7.19,False,0.0,0.0,False
7.22,False,0.0,0.0,False
7.26,False,0.0,0.0,False
7.29,False,0.0,0.0,False
7.32,False,0.0,0.0,False
7.36,False,0.0,0.0,False
7.39,False,0.0,0.0,False
7.42,False,0.0,0.0,False
7.46,False,0.0,0.0,False
7.49,False,0.0,0.0,False
7.52,False,0.0,0.0,False
7.56,False,0.0,0.0,False
7.59,False,0.0,0.0,False
7.62,False,0.0,0.0,False
7.66,False,0.0,0.0,False
7.69,False,0.0,0.0,False
7.72,False,0.0,0.0,False
7.76,False,0.0,0.0,False
7.79,False,0.0,0.0,False
7.82,False,0.0,0.0,False
7.86,True,0.0666,0.308,False
7.89,False,0.0,0.0,False
7.92,False,0.0,0.0,False
7.96,False,0.0,0.0,False
7.99,False,0.0,0.0,False
8.02,False,0.0,0.0,False
8.06,False,0.0,0.0,False
8.09,False,0.0,0.0,False
8.12,False,0.0,0.0,False
8.16,True,0.0542,0.331,False
8.19,True,0.0593,0.303,False
8.22,False,0.0,0.0,False
8.26,True,0.0492,0.362,False
8.29,True,0.0477,0.497,False
8.32,True,0.0446,0.336,False
8.36,True,0.0485,0.352,False
8.39,False,0.0,0.0,False
8.42,True,0.0461,0.356,False
8.46,True,0.0485,0.439,False
8.49,True,0.0469,0.404,False
8.52,True,0.0477,0.403,False
8.56,False,0.0,0.0,False
8.59,False,0.0,0.0,False
8.62,True,0.0453,0.338,False
8.66,True,0.0453,0.383,False
8.69,True,0.0533,0.343,False
8.72,True,0.0492,0.366,False
8.76,True,0.0477,0.328,False
8.79,True,0.0492,0.432,False
8.82,True,0.0492,0.437,False
8.86,True,0.0501,0.396,False
8.89,True,0.0593,0.31,False
8.92,True,0.0593,0.33,False
8.96,False,0.0,0.0,False
8.99,False,0.0,0.0,False
9.02,False,0.0,0.0,False
9.06,False,0.0,0.0,False
9.09,False,0.0,0.0,False
9.12,False,0.0,0.0,False
9.16,False,0.0,0.0,False
9.19,True,0.0666,0.342,False
9.22,True,0.0742,0.536,False
9.26,True,0.0742,0.353,False
9.29,False,0.0,0.0,False
9.32,True,0.0844,0.309,False
9.36,True,0.0742,0.361,False
9.39,True,0.0611,0.357,False
9.42,True,0.0533,0.354,False
9.46,True,0.0438,0.431,False
9.49,True,0.0408,0.507,False
9.52,True,0.038,0.5,False
9.56,True,0.0416,0.53,False
9.59,True,0.0387,0.487,False
9.62,True,0.038,0.431,False
9.66,True,0.0373,0.419,False
9.69,True,0.0352,0.414,False
9.72,True,0.0352,0.396,False
9.76,True,0.0339,0.448,False
9.79,True,0.0366,0.347,False
9.82,True,0.0339,0.432,False
9.86,True,0.0345,0.384,False
9.89,True,0.0345,0.418,False
9.92,True,0.0339,0.421,False
9.96,True,0.0387,0.507,False
9.99,True,0.0366,0.406,False
10.02,True,0.0401,0.326,False
10.06,True,0.0352,0.38,False
10.09,True,0.0446,0.315,False
10.12,True,0.0567,0.305,False
10.16,False,0.0,0.0,False
10.19,True,0.0326,0.357,False
10.22,True,0.0525,0.311,False
10.26,True,0.0559,0.372,False
10.29,False,0.0,0.0,False
10.32,False,0.0,0.0,False
10.36,False,0.0,0.0,False
10.39,False,0.0,0.0,False
10.42,False,0.0,0.0,False
10.46,False,0.0,0.0,False
10.49,False,0.0,0.0,False
10.52,False,0.0,0.0,False
10.56,False,0.0,0.0,False
10.59,False,0.0,0.0,False
10.62,False,0.0,0.0,False
10.66,False,0.0,0.0,False
10.69,False,0.0,0.0,False
10.72,False,0.0,0.0,False
10.76,False,0.0,0.0,False
10.79,False,0.0,0.0,False
10.82,False,0.0,0.0,False
10.86,False,0.0,0.0,False
10.89,False,0.0,0.0,False
10.92,False,0.0,0.0,False
10.96,False,0.0,0.0,False
10.99,False,0.0,0.0,False
11.02,False,0.0,0.0,False
11.06,False,0.0,0.0,False
11.09,False,0.0,0.0,False
11.12,False,0.0,0.0,False
11.16,False,0.0,0.0,False
11.19,False,0.0,0.0,False
11.22,False,0.0,0.0,False
11.26,False,0.0,0.0,False
11.29,False,0.0,0.0,False
11.32,False,0.0,0.0,False
11.36,False,0.0,0.0,False
11.39,False,0.0,0.0,False
11.42,False,0.0,0.0,False
11.46,False,0.0,0.0,False
11.49,False,0.0,0.0,False
11.52,False,0.0,0.0,False
11.56,False,0.0,0.0,False
11.59,False,0.0,0.0,False
11.62,False,0.0,0.0,False
11.66,False,0.0,0.0,False
11.69,False,0.0,0.0,False
11.72,False,0.0,0.0,False
11.76,False,0.0,0.0,False
11.79,False,0.0,0.0,False
11.82,False,0.0,0.0,False
11.86,False,0.0,0.0,False
11.89,False,0.0,0.0,False
11.92,False,0.0,0.0,False
11.96,False,0.0,0.0,False
11.99,False,0.0,0.0,False
12.02,False,0.0,0.0,False
12.06,False,0.0,0.0,False
12.09,False,0.0,0.0,False
12.12,False,0.0,0.0,False
12.16,False,0.0,0.0,False
12.19,False,0.0,0.0,False
12.22,False,0.0,0.0,False
12.26,False,0.0,0.0,False
12.29,False,0.0,0.0,False
12.32,False,0.0,0.0,False
12.36,False,0.0,0.0,False
12.39,False,0.0,0.0,False
12.42,False,0.0,0.0,False
12.46,False,0.0,0.0,False
12.49,False,0.0,0.0,False
12.52,False,0.0,0.0,False
12.56,False,0.0,0.0,False
12.59,False,0.0,0.0,False
12.62,False,0.0,0.0,False
12.66,False,0.0,0.0,False
12.69,False,0.0,0.0,False
12.72,False,0.0,0.0,False
12.76,False,0.0,0.0,False
12.79,False,0.0,0.0,False
12.82,False,0.0,0.0,False
12.86,False,0.0,0.0,False
12.89,False,0.0,0.0,False
12.92,False,0.0,0.0,False
12.96,False,0.0,0.0,False
12.99,False,0.0,0.0,False
13.02,False,0.0,0.0,False
13.06,False,0.0,0.0,False
13.09,False,0.0,0.0,False
13.12,False,0.0,0.0,False
13.16,False,0.0,0.0,False
13.19,False,0.0,0.0,False
13.22,False,0.0,0.0,False
13.26,False,0.0,0.0,False
13.29,False,0.0,0.0,False
13.32,False,0.0,0.0,False
13.36,False,0.0,0.0,False
13.39,False,0.0,0.0,False
13.42,False,0.0,0.0,False
13.46,False,0.0,0.0,False
13.49,False,0.0,0.0,False
13.52,False,0.0,0.0,False
13.56,False,0.0,0.0,False
13.59,False,0.0,0.0,False
13.62,False,0.0,0.0,False
13.66,False,0.0,0.0,False
13.69,False,0.0,0.0,False
13.72,False,0.0,0.0,False
13.76,False,0.0,0.0,False
13.79,False,0.0,0.0,False
13.82,False,0.0,0.0,False
13.86,False,0.0,0.0,False
13.89,False,0.0,0.0,False
13.92,False,0.0,0.0,False
13.96,False,0.0,0.0,False
13.99,False,0.0,0.0,False
14.02,False,0.0,0.0,False
14.06,False,0.0,0.0,False
14.09,False,0.0,0.0,False
14.12,False,0.0,0.0,False
14.16,False,0.0,0.0,False
14.19,False,0.0,0.0,False
14.22,False,0.0,0.0,False
14.26,False,0.0,0.0,False
14.29,False,0.0,0.0,False
14.32,False,0.0,0.0,False
14.36,False,0.0,0.0,False
14.39,False,0.0,0.0,False
14.42,False,0.0,0.0,False
14.46,False,0.0,0.0,False
14.49,False,0.0,0.0,False
14.52,False,0.0,0.0,False
14.56,False,0.0,0.0,False
14.59,False,0.0,0.0,False
14.62,False,0.0,0.0,False
14.66,False,0.0,0.0,False
14.69,False,0.0,0.0,False
14.72,False,0.0,0.0,False
14.76,False,0.0,0.0,False
14.79,False,0.0,0.0,False
14.82,False,0.0,0.0,False
14.86,False,0.0,0.0,False
14.89,False,0.0,0.0,False
14.92,False,0.0,0.0,False
14.96,False,0.0,0.0,False
14.99,False,0.0,0.0,False
15.02,False,0.0,0.0,False
15.06,False,0.0,0.0,False
15.09,False,0.0,0.0,False
15.12,False,0.0,0.0,False
15.16,False,0.0,0.0,False
15.19,False,0.0,0.0,False
15.22,False,0.0,0.0,False
15.26,False,0.0,0.0,False
15.29,False,0.0,0.0,False
15.32,False,0.0,0.0,False
15.36,False,0.0,0.0,False
15.39,False,0.0,0.0,False
15.42,False,0.0,0.0,False
15.46,False,0.0,0.0,False
15.49,False,0.0,0.0,False
15.52,False,0.0,0.0,False
15.56,False,0.0,0.0,False
15.59,False,0.0,0.0,False
15.62,False,0.0,0.0,False
15.66,False,0.0,0.0,False
15.69,False,0.0,0.0,False
15.72,False,0.0,0.0,False
15.76,False,0.0,0.0,False
15.79,True,0.0602,0.336,False
15.82,False,0.0,0.0,False
15.86,False,0.0,0.0,False
15.89,False,0.0,0.0,False
15.92,False,0.0,0.0,False
15.96,False,0.0,0.0,False
15.99,False,0.0,0.0,False
16.02,False,0.0,0.0,False
16.06,False,0.0,0.0,False
16.09,False,0.0,0.0,False
16.12,False,0.0,0.0,False
16.16,True,0.0408,0.362,False
16.19,True,0.0394,0.351,False
16.22,False,0.0,0.0,False
16.26,True,0.0373,0.338,False
16.29,True,0.0366,0.343,False
16.32,True,0.0394,0.332,False
16.36,True,0.0438,0.315,False
16.39,True,0.0366,0.349,False
16.42,True,0.0438,0.313,False
