t,bbox,ratio,conf,landmark
0.0,True,0.0533,0.61,False
0.05,True,0.0453,0.628,False
0.07,True,0.0501,0.633,False
0.08,True,0.0469,0.613,False
0.1,True,0.0492,0.624,False
0.11,True,0.0509,0.577,False
0.14,True,0.0461,0.546,False
0.18,True,0.0509,0.347,False
0.21,True,0.0469,0.387,False
0.24,True,0.12,0.382,False
0.28,True,0.0461,0.433,False
0.31,True,0.0469,0.422,False
0.34,True,0.0567,0.414,False
0.38,True,0.055,0.334,False
0.41,True,0.0576,0.414,False
0.44,True,0.0593,0.414,False
0.48,True,0.0629,0.391,False
0.51,True,0.0567,0.366,False
0.54,False,0.0,0.0,False
0.58,True,0.0306,0.314,False
0.61,False,0.0,0.0,False
0.64,False,0.0,0.0,False
0.68,False,0.0,0.0,False
0.71,False,0.0,0.0,False
0.74,False,0.0,0.0,False
0.78,False,0.0,0.0,False
0.81,False,0.0,0.0,False
0.84,False,0.0,0.0,False
0.88,False,0.0,0.0,False
0.91,False,0.0,0.0,False
0.94,False,0.0,0.0,False
0.98,False,0.0,0.0,False
1.01,False,0.0,0.0,False
1.04,False,0.0,0.0,False
1.08,True,0.0509,0.307,False
1.11,False,0.0,0.0,False
1.14,True,0.0319,0.325,False
1.18,True,0.03,0.367,False
1.21,True,0.03,0.301,False
1.24,False,0.0,0.0,False
1.28,False,0.0,0.0,False
1.31,True,0.0431,0.363,False
1.34,True,0.0469,0.349,False
1.38,False,0.0,0.0,False
1.41,False,0.0,0.0,False
1.44,False,0.0,0.0,False
1.48,False,0.0,0.0,False
1.51,True,0.0373,0.35,False
1.54,False,0.0,0.0,False
1.58,False,0.0,0.0,False
1.61,False,0.0,0.0,False
1.64,False,0.0,0.0,False
1.68,False,0.0,0.0,False
1.71,False,0.0,0.0,False
1.74,False,0.0,0.0,False
1.78,False,0.0,0.0,False
1.81,False,0.0,0.0,False
1.84,False,0.0,0.0,False
1.88,False,0.0,0.0,False
1.91,False,0.0,0.0,False
1.94,False,0.0,0.0,False
1.98,False,0.0,0.0,False
2.01,False,0.0,0.0,False
2.04,False,0.0,0.0,False
2.08,False,0.0,0.0,False
2.11,False,0.0,0.0,False
2.14,False,0.0,0.0,False
2.18,False,0.0,0.0,False
2.21,False,0.0,0.0,False
2.24,False,0.0,0.0,False
2.28,False,0.0,0.0,False
2.31,False,0.0,0.0,False
2.34,False,0.0,0.0,False
2.38,False,0.0,0.0,False
2.41,True,0.055,0.385,False
2.44,False,0.0,0.0,False
2.48,False,0.0,0.0,False
2.51,False,0.0,0.0,False
2.54,True,0.0559,0.375,False
2.58,True,0.0638,0.336,False
2.61,False,0.0,0.0,False
2.64,True,0.0602,0.334,False
2.68,False,0.0,0.0,False
2.71,False,0.0,0.0,False
2.74,True,0.0517,0.345,False
2.78,False,0.0,0.0,False
2.81,True,0.0533,0.342,False
2.84,False,0.0,0.0,False
2.88,True,0.0576,0.337,False
2.91,True,0.0542,0.345,False
2.94,False,0.0,0.0,False
